Date,Close points,Open points,Maximum points,Minimum Points,Volume,Variation
12.12.2013,"50121,61","50076,84","50331,27","49842,31","3,05M","0,11%"
11.12.2013,"50067,99","50990,62","51038,59","50067,99","3,08M","-1,81%"
10.12.2013,"50993,02","51166,59","51334,25","50955,66","2,13M","-0,34%"
09.12.2013,"51165,38","50942,39","51298,21","50832,11","2,28M","0,43%"
06.12.2013,"50944,27","50787,63","51364,94","50609,96","3,35M","0,31%"
05.12.2013,"50787,63","50220,17","51123,76","50220,17","3,67M","1,14%"
04.12.2013,"50215,79","50358,89","50744,43","50113,76","3,64M","-0,26%"
03.12.2013,"50348,89","51239,59","51257,25","50223,54","3,68M","-1,75%"
02.12.2013,"51244,87","52479,11","52479,11","51244,87","3,79M","-2,36%"
29.11.2013,"52482,49","51846,83","52482,49","51846,83","2,63M","1,23%"
28.11.2013,"51846,83","51861,51","52458,01","51696,89","2,42M","-0,03%"
27.11.2013,"51861,21","51447,68","52112,99","51447,68","3,11M","0,81%"
26.11.2013,"51446,91","52258,64","52410,49","51433,29","3,73M","-1,56%"
25.11.2013,"52263,51","52807,05","52995,1","52115,83","3,08M","-1,02%"
22.11.2013,"52800,74","52685,61","53221,4","52095,78","3,47M","0,21%"
21.11.2013,"52688,02","53026,58","53026,58","52190,27","3,62M","-0,65%"
19.11.2013,"53032,91","54303,64","54303,64","52831,06","3,65M","-2,35%"
18.11.2013,"54307,04","53451,6","54317,16","53451,6","3,32M","1,60%"
14.11.2013,"53451,6","52232,73","53566,32","52232,73","3,61M","2,34%"
13.11.2013,"52230,29","51804,33","52271,39","51290,28","3,42M","0,82%"
12.11.2013,"51804,33","52624,45","52811,4","51635,66","3,85M","-1,56%"
11.11.2013,"52623,87","52246,97","52645,52","52072,18","2,32M","0,72%"
08.11.2013,"52248,86","52738,9","52867,92","51735,25","4,11M","-0,93%"
07.11.2013,"52740,79","53390,36","53890,99","52558,39","4,87M","-1,21%"
06.11.2013,"53384,6","53839,76","53856,75","53073,47","4,26M","-0,83%"
05.11.2013,"53831,85","54435,62","54538,63","53730,82","3,33M","-1,11%"
